id,text,STOPWORD,Cleaned,sentiment,VaderScore
9.80E+17,sindh government children hospital stateoftheart health facility first ever government health facility which is providing international standard quality healthcare services to children khidmatmainsabsayaagay sindh ppp ,sindh government children hospital stateoftheart health facility first ever government health facility providing international standard quality healthcare services children khidmatmainsabsayaagay sindh ppp,sindh government children hospital stateoftheart health facility first ever government health facility providing international standard quality healthcare services children khidmatmainsabsayaagay sindh ppp,positive,neutral
9.80E+17,sindh police ensure safe space for women children sindh ppp,sindh police ensure safe space women children sindh ppp,sindh police ensure safe space women children sindh ppp,positive,positive
9.79E+17,welcome home keep making us proud emoji flag of pakistan,welcome home keep making us proud emoji flag pakistan,welcome home keep making us proud emoji flag pakistan,positive,positive
9.79E+17,deeply disturbed to learn of the death of lady health worker as they continue to protest against the nonpayment of their salaries shameful treatment by the punjab govt using violence against peaceful protestor pmlns antipeople policies out in full swing,deeply disturbed learn death lady health worker continue protest nonpayment salaries shameful treatment punjab govt using violence peaceful protestor pmlns antipeople policies full swing,deeply disturbed learn death lady health worker continue protest nonpayment salaries shameful treatment punjab govt using violence peaceful protestor pmlns antipeople policies full swing,positive,negative
9.78E+17,id like to congratulate and for doing such great job thoroughly enjoyed the psl final in karachi congratulations pictwittercombdmulisci,id like congratulate great job thoroughly enjoyed psl final karachi congratulations pictwittercombdmulisci,id like congratulate great job thoroughly enjoyed psl final karachi congratulations pictwittercombdmulisci,positive,positive
9.78E+17,thank you bannu jiyalas attended despite the blistering heat would like to especially thank the women who attended today defying local customs to show their support for peaceful prosperous and progressive pakistan pictwittercomawtlzsbvx,thank bannu jiyalas attended despite blistering heat would like especially thank women attended today defying local customs show support peaceful prosperous progressive pakistan pictwittercomawtlzsbvx,thank bannu jiyalas attended despite blistering heat would like especially thank women attended today defying local customs show support peaceful prosperous progressive pakistan pictwittercomawtlzsbvx,positive,positive
9.77E+17,begum nusrat bhutto nishanepakistan ,begum nusrat bhutto nishanepakistan,begum nusrat bhutto nishanepakistan,neutral,neutral
9.77E+17,corrigendum nd counting from th march ,corrigendum nd counting th march,corrigendum nd counting th march,neutral,neutral
9.77E+17,on pakistans th republic day let us reaffirm our commitment to the building blocks of our country democracy inclusiveness justice and equality pakistanday,pakistans th republic day let us reaffirm commitment building blocks country democracy inclusiveness justice equality pakistanday,pakistans th republic day let us reaffirm commitment building blocks country democracy inclusiveness justice equality pakistanday,neutral,positive
9.77E+17,begum nusrat bhutto always led from the front she was the north star in our struggle for democracy during the darkness of the zia dictatorship happy birthday madarejamhoriyat you remain an inspiration and guiding light for me pictwittercomoirijko,begum nusrat bhutto always led front north star struggle democracy darkness zia dictatorship happy birthday madarejamhoriyat remain inspiration guiding light pictwittercomoirijko,begum nusrat bhutto always led front north star struggle democracy darkness zia dictatorship happy birthday madarejamhoriyat remain inspiration guiding light pictwittercomoirijko,positive,positive
9.77E+17,first woman opposition leader in the senate ppp wemakehistory congratulations ,first woman opposition leader senate ppp wemakehistory congratulations,first woman opposition leader senate ppp wemakehistory congratulations,positive,positive
9.76E+17,grieved at the loss of committed and loyal friend of the people ayaz soomroo his struggles for democracy will always be remembered we honour his legacy pictwittercombljafpdqrg,grieved loss committed loyal friend people ayaz soomroo struggles democracy always remembered honour legacy pictwittercombljafpdqrg,grieved loss committed loyal friend people ayaz soomroo struggles democracy always remembered honour legacy pictwittercombljafpdqrg,positive,positive
9.75E+17,thank you to the people of kotli sattian together we will build peaceful prosperous and progressive pakistan kotlisattianbhuttoka pictwittercomzrwlhrftk,thank people kotli sattian together build peaceful prosperous progressive pakistan kotlisattianbhuttoka pictwittercomzrwlhrftk,thank people kotli sattian together build peaceful prosperous progressive pakistan kotlisattianbhuttoka pictwittercomzrwlhrftk,positive,positive
9.75E+17,bibi tera qaflaruka nahithama nahi ppp pictwittercompfvbmcbfn,bibi tera qaflaruka nahithama nahi ppp pictwittercompfvbmcbfn,bibi tera qaflaruka nahithama nahi ppp pictwittercompfvbmcbfn,neutral,neutral
9.74E+17,ppp ready to make history again we nominate senator for the position of leader of opposition inshallah she will be the first woman to lead the opposition in the senate pakistan peoples party wemakehistory,ppp ready make history nominate senator position leader opposition inshallah first woman lead opposition senate pakistan peoples party wemakehistory,ppp ready make history nominate senator position leader opposition inshallah first woman lead opposition senate pakistan peoples party wemakehistory,positive,positive
9.74E+17,congratulations shehzad roy proud to represent pakistan at un convention in austria ,congratulations shehzad roy proud represent pakistan un convention austria,congratulations shehzad roy proud represent pakistan un convention austria,positive,positive
9.74E+17,while ns screams vote ko izzat do his own na speaker walks out of national assembly over absence of interior ministry officials in parliament hypocritesharifs ,ns screams vote ko izzat na speaker walks national assembly absence interior ministry officials parliament hypocritesharifs,ns screams vote ko izzat na speaker walks national assembly absence interior ministry officials parliament hypocritesharifs,negative,negative
9.73E+17,there seems to be lot of conspiracy theories about the fate of the th amendment let me make ppp position clear the fundamentals of the th amendment constitution are non negotiable come hell or high water we will not compromise on our constitutions integrity,seems lot conspiracy theories fate th amendment let make ppp position clear fundamentals th amendment constitution non negotiable come hell high water compromise constitutions integrity,seems lot conspiracy theories fate th amendment let make ppp position clear fundamentals th amendment constitution non negotiable come hell high water compromise constitutions integrity,positive,negative
9.73E+17,sindh cm launches world bankassisted project to make karachi livable ,sindh cm launches world bankassisted project make karachi livable,sindh cm launches world bankassisted project make karachi livable,neutral,neutral
9.73E+17,congratulations deputy chairman senate bhuttoists take both chairman and deputy chair of the senate ekzardarisabpebhari,congratulations deputy chairman senate bhuttoists take chairman deputy chair senate ekzardarisabpebhari,congratulations deputy chairman senate bhuttoists take chairman deputy chair senate ekzardarisabpebhari,neutral,positive
9.73E+17,zias opening batsman defeated balochistan wins federalism wins congratulations chairman senate sadiq sanjrani,zias opening batsman defeated balochistan wins federalism wins congratulations chairman senate sadiq sanjrani,zias opening batsman defeated balochistan wins federalism wins congratulations chairman senate sadiq sanjrani,positive,positive
9.73E+17,ppp proud to announce candidates for chairman deputy chairman of the senate of pakistan sadiq sanjrani saleem mandviwalla respectively inshallah victory will be ours,ppp proud announce candidates chairman deputy chairman senate pakistan sadiq sanjrani saleem mandviwalla respectively inshallah victory,ppp proud announce candidates chairman deputy chairman senate pakistan sadiq sanjrani saleem mandviwalla respectively inshallah victory,positive,positive
9.73E+17,last year ppp leader babar sohail butt was assassinated in his home in lahore noon league accused have been given clean chit by punjab police one year on family and party still demand justice killer cm punjab must be made to answer,last year ppp leader babar sohail butt assassinated home lahore noon league accused given clean chit punjab police one year family party still demand justice killer cm punjab must made answer,last year ppp leader babar sohail butt assassinated home lahore noon league accused given clean chit punjab police one year family party still demand justice killer cm punjab must made answer,positive,positive
9.72E+17,ppp has always fought sacrificed and delivered on empowering the federation from devolution to cepec weve prioritized balochistan chairman senate from balochistan sounds like good idea will consult with my party and allies on names for chairman deputy senateelections,ppp always fought sacrificed delivered empowering federation devolution cepec weve prioritized balochistan chairman senate balochistan sounds like good idea consult party allies names chairman deputy senateelections,ppp always fought sacrificed delivered empowering federation devolution cepec weve prioritized balochistan chairman senate balochistan sounds like good idea consult party allies names chairman deputy senateelections,positive,positive
9.72E+17,pakistan peoples party wemakehistory ,pakistan peoples party wemakehistory,pakistan peoples party wemakehistory,neutral,positive
9.72E+17,ppp is the only party that represents pakistan for all not just the wealthy anwar deans election paves way for minorities in senate ,ppp party represents pakistan wealthy anwar deans election paves way minorities senate,ppp party represents pakistan wealthy anwar deans election paves way minorities senate,positive,positive
9.72E+17,on internationalwomensday we are proud pakistan has produced the bravest women pppempowerswomen but we know theres long way to go before women enjoy true equality karawanebenazir rallies across pakistan today highlighting what has been achieved what still needs doing pictwittercomdvouugr,internationalwomensday proud pakistan produced bravest women pppempowerswomen know theres long way go women enjoy true equality karawanebenazir rallies across pakistan today highlighting achieved still needs pictwittercomdvouugr,internationalwomensday proud pakistan produced bravest women pppempowerswomen know theres long way go women enjoy true equality karawanebenazir rallies across pakistan today highlighting achieved still needs pictwittercomdvouugr,positive,positive
9.72E+17,congratulations on being elected president sindh olympic association ppp youth making us proud,congratulations elected president sindh olympic association ppp youth making us proud,congratulations elected president sindh olympic association ppp youth making us proud,positive,positive
9.71E+17,karawanebenazir rallies will be lead by ppp women in all provincial capitals tomorrow for internationalwomensday we will celebrate our achievements pppempowerswomen highlight what more needs to be done to insure equality for women in pakistan,karawanebenazir rallies lead ppp women provincial capitals tomorrow internationalwomensday celebrate achievements pppempowerswomen highlight needs done insure equality women pakistan,karawanebenazir rallies lead ppp women provincial capitals tomorrow internationalwomensday celebrate achievements pppempowerswomen highlight needs done insure equality women pakistan,neutral,positive
9.71E+17,the pakistan peoples party wemakehistroy help us build peaceful prosperous progressive pakistan where everyone is treated equally no matter their class creed or religionjoinppp ,pakistan peoples party wemakehistroy help us build peaceful prosperous progressive pakistan everyone treated equally matter class creed religionjoinppp,pakistan peoples party wemakehistroy help us build peaceful prosperous progressive pakistan everyone treated equally matter class creed religionjoinppp,positive,positive
9.71E+17,thank you ps ghotki all the kings horses and all the kings men united against ppp not so grand dysfunctional alliance defeated na meer ka na pir ka vote sirif teer ka vote benazir ka,thank ps ghotki kings horses kings men united ppp grand dysfunctional alliance defeated na meer ka na pir ka vote sirif teer ka vote benazir ka,thank ps ghotki kings horses kings men united ppp grand dysfunctional alliance defeated na meer ka na pir ka vote sirif teer ka vote benazir ka,positive,negative
9.71E+17,ripjamsaqi champion of ideological politics and fighter for democracy shaheed benazir bhutto appeared as witness in his havour before military court under zias dictatorship pictwittercomdrmtvuxa,ripjamsaqi champion ideological politics fighter democracy shaheed benazir bhutto appeared witness havour military court zias dictatorship pictwittercomdrmtvuxa,ripjamsaqi champion ideological politics fighter democracy shaheed benazir bhutto appeared witness havour military court zias dictatorship pictwittercomdrmtvuxa,negative,positive
9.71E+17,second cyberknife facility to start functioning at jpmc soon khidmatmainsabsayaagay sindh ppp,second cyberknife facility start functioning jpmc soon khidmatmainsabsayaagay sindh ppp,second cyberknife facility start functioning jpmc soon khidmatmainsabsayaagay sindh ppp,neutral,neutral
9.70E+17,congratulations to all democrats another step forward for pakistans young democracy senate elections taking place despite conspiracy theories ppp has put forward the best candidates wishing them best of luck,congratulations democrats another step forward pakistans young democracy senate elections taking place despite conspiracy theories ppp put forward best candidates wishing best luck,congratulations democrats another step forward pakistans young democracy senate elections taking place despite conspiracy theories ppp put forward best candidates wishing best luck,positive,positive
9.70E+17,pleasure speaking at memorial reference for shahbaz bhatti organized by all pakistan minority alliance ,pleasure speaking memorial reference shahbaz bhatti organized pakistan minority alliance,pleasure speaking memorial reference shahbaz bhatti organized pakistan minority alliance,neutral,positive
9.69E+17,happyholi to all those celebrating ,happyholi celebrating,happyholi celebrating,neutral,positive
9.69E+17,the fault in nawaz narrative ,fault nawaz narrative,fault nawaz narrative,neutral,negative
9.69E+17,from biosaline agriculture to fish farming we are changing the landscape of thar providing new livelihood opportunities largescale fish farming to be set up at gorano reservoir ,biosaline agriculture fish farming changing landscape thar providing new livelihood opportunities largescale fish farming set gorano reservoir,biosaline agriculture fish farming changing landscape thar providing new livelihood opportunities largescale fish farming set gorano reservoir,positive,positive
9.68E+17,so proud that karachi is host to the asia peace film festival the international film community coming together to promote acceptance and respect of diverse cultures and reject extremism in all its formsunityindiversity ppp pictwittercompbqlookh,proud karachi host asia peace film festival international film community coming together promote acceptance respect diverse cultures reject extremism formsunityindiversity ppp pictwittercompbqlookh,proud karachi host asia peace film festival international film community coming together promote acceptance respect diverse cultures reject extremism formsunityindiversity ppp pictwittercompbqlookh,positive,positive
9.67E+17, pakistanis die every year from heart illnesses after karachi tmkhyderabadsehwan larkano now nicvdsukkur th heart hospital ive inaugurated in last months free international quality healthcare khidmatmainsabsayaagay sindh pictwittercomphxpawndhp,pakistanis die every year heart illnesses karachi tmkhyderabadsehwan larkano nicvdsukkur th heart hospital ive inaugurated last months free international quality healthcare khidmatmainsabsayaagay sindh pictwittercomphxpawndhp,pakistanis die every year heart illnesses karachi tmkhyderabadsehwan larkano nicvdsukkur th heart hospital ive inaugurated last months free international quality healthcare khidmatmainsabsayaagay sindh pictwittercomphxpawndhp,positive,positive
9.67E+17,reports that pti government is releasing additional rs crores for madrassa haqania owned by maulana sami ul haq the total funds released since now stand at crores ptis naya pakistan will be built on the blood of terrorism victims shame,reports pti government releasing additional rs crores madrassa haqania owned maulana sami ul haq total funds released since stand crores ptis naya pakistan built blood terrorism victims shame,reports pti government releasing additional rs crores madrassa haqania owned maulana sami ul haq total funds released since stand crores ptis naya pakistan built blood terrorism victims shame,neutral,negative
9.67E+17,joinppp punjab for peaceful prosperous progressive pakistan pictwittercomkacizwdp,joinppp punjab peaceful prosperous progressive pakistan pictwittercomkacizwdp,joinppp punjab peaceful prosperous progressive pakistan pictwittercomkacizwdp,positive,positive
9.66E+17,wow cjp visits karachi hospital along with gos reps impressed with what he sees makes personal donation im sure not perfect but such step must be highly motivating for doctors thank you cjp saqib nisar donates to jpmc via ,wow cjp visits karachi hospital along gos reps impressed sees makes personal donation im sure perfect step must highly motivating doctors thank cjp saqib nisar donates jpmc via,wow cjp visits karachi hospital along gos reps impressed sees makes personal donation im sure perfect step must highly motivating doctors thank cjp saqib nisar donates jpmc via,positive,positive
9.66E+17,pakistan has of the worst infant mortality rates in the world ppp led sindh govt has been working in public private partnership to tackle infant maternal mortality rates in the past years we reduced mortality rate by see details in thread below thanks ,pakistan worst infant mortality rates world ppp led sindh govt working public private partnership tackle infant maternal mortality rates past years reduced mortality rate see details thread thanks,pakistan worst infant mortality rates world ppp led sindh govt working public private partnership tackle infant maternal mortality rates past years reduced mortality rate see details thread thanks,negative,negative
9.66E+17,sharifs want to dictate judgements to the judiciary again we will not let them they dont understand pakistan has changed we will not tolerate such attacks or blackmail on our judiciary ,sharifs want dictate judgements judiciary let dont understand pakistan changed tolerate attacks blackmail judiciary,sharifs want dictate judgements judiciary let dont understand pakistan changed tolerate attacks blackmail judiciary,neutral,positive
9.66E+17,this is what conspiracy and judicial victimization looks like sharifs dictating judegments against smbb az blackmailing judges is justice while panama decision based on international scandal is called conspiracy sharifs are masters at this game lies decite and hypocrisy ,conspiracy judicial victimization looks like sharifs dictating judegments smbb az blackmailing judges justice panama decision based international scandal called conspiracy sharifs masters game lies decite hypocrisy,conspiracy judicial victimization looks like sharifs dictating judegments smbb az blackmailing judges justice panama decision based international scandal called conspiracy sharifs masters game lies decite hypocrisy,negative,negative
9.66E+17,ppp moves parliament against privatisation of pia psm via ,ppp moves parliament privatisation pia psm via,ppp moves parliament privatisation pia psm via,neutral,neutral
9.65E+17,benazir bhutto showed you can be mother and prime minister know am her son ,benazir bhutto showed mother prime minister know son,benazir bhutto showed mother prime minister know son,neutral,neutral
9.65E+17,sindh revenue board out performs other provinces srb paradigm change in revenue collection ,sindh revenue board performs provinces srb paradigm change revenue collection,sindh revenue board performs provinces srb paradigm change revenue collection,neutral,neutral
9.64E+17,the tharsciencefestival is wonderful initiative that allows the children of thar to learn and engage with science in practical way my heartfelt gratitude and congratulations to everyone who has made it possible ,tharsciencefestival wonderful initiative allows children thar learn engage science practical way heartfelt gratitude congratulations everyone made possible,tharsciencefestival wonderful initiative allows children thar learn engage science practical way heartfelt gratitude congratulations everyone made possible,positive,positive
9.63E+17,sindh province only one doing its job post devolution once again only ppp working on real issues labour policy sindh announces firstever tripartite labour policy ,sindh province one job post devolution ppp working real issues labour policy sindh announces firstever tripartite labour policy,sindh province one job post devolution ppp working real issues labour policy sindh announces firstever tripartite labour policy,positive,neutral
9.63E+17,statefuneralforasmajehangir ,statefuneralforasmajehangir,statefuneralforasmajehangir,neutral,neutral
9.63E+17,devastated and heartbroken to hear of passing pakistans champion of human rights and democracy my personal inspiration and mentor who had so much more to teach me pakistan produces the bravest women the world has ever seen asma was one of them,devastated heartbroken hear passing pakistans champion human rights democracy personal inspiration mentor much teach pakistan produces bravest women world ever seen asma one,devastated heartbroken hear passing pakistans champion human rights democracy personal inspiration mentor much teach pakistan produces bravest women world ever seen asma one,positive,positive
9.62E+17,pleasure meeting mr mrs tillerson at the nationalprayerbreakfast pictwittercomtymusgfdg,pleasure meeting mr mrs tillerson nationalprayerbreakfast pictwittercomtymusgfdg,pleasure meeting mr mrs tillerson nationalprayerbreakfast pictwittercomtymusgfdg,neutral,positive
9.62E+17,hope the us government heeds the advice of their former secretary of state do not repeat the mistakes of the past pakus pictwittercomzygslrzi,hope us government heeds advice former secretary state repeat mistakes past pakus pictwittercomzygslrzi,hope us government heeds advice former secretary state repeat mistakes past pakus pictwittercomzygslrzi,negative,positive
9.62E+17,one of the most inspirational people have ever met nationalprayerbreakfast pictwittercomeqlhmoobn,one inspirational people ever met nationalprayerbreakfast pictwittercomeqlhmoobn,one inspirational people ever met nationalprayerbreakfast pictwittercomeqlhmoobn,positive,positive
9.62E+17,appreciate being asked to speak at international luncheon of nationalprayerbreakfast discussed combating extremism hope for peaceful progressive pakistanshaheed benazir bhutto supposed to speak at the same event yrs agospeech was drafted unfortunately never made it pictwittercomezklurjx,appreciate asked speak international luncheon nationalprayerbreakfast discussed combating extremism hope peaceful progressive pakistanshaheed benazir bhutto supposed speak event yrs agospeech drafted unfortunately never made pictwittercomezklurjx,appreciate asked speak international luncheon nationalprayerbreakfast discussed combating extremism hope peaceful progressive pakistanshaheed benazir bhutto supposed speak event yrs agospeech drafted unfortunately never made pictwittercomezklurjx,positive,positive
9.62E+17,pashtunlongmarch is an organic movementspontaneous reaction to killing of shaheed naqeebullah mehsudits grown to encompass broad based genuine concerns of the peoplei hope we can live up to expectations provide justice for system based on injustice cannot last long,pashtunlongmarch organic movementspontaneous reaction killing shaheed naqeebullah mehsudits grown encompass broad based genuine concerns peoplei hope live expectations provide justice system based injustice cannot last long,pashtunlongmarch organic movementspontaneous reaction killing shaheed naqeebullah mehsudits grown encompass broad based genuine concerns peoplei hope live expectations provide justice system based injustice cannot last long,positive,negative
9.62E+17,shiningindia ,shiningindia,shiningindia,neutral,neutral
9.61E+17,has basant come early to karachi bokata mqmwoes itoldyouso,basant come early karachi bokata mqmwoes itoldyouso,basant come early karachi bokata mqmwoes itoldyouso,positive,neutral
9.61E+17,just about to speak to about pakistan us relations on ,speak pakistan us relations,speak pakistan us relations,neutral,neutral
9.61E+17,as of january usaid statistics boast an improved maternal mortality rate of out of every live births for sindh putting it squarely ahead of all other provincesthis is decrease of in the past years ppp delivers saves lives ,january usaid statistics boast improved maternal mortality rate every live births sindh putting squarely ahead provincesthis decrease past years ppp delivers saves lives,january usaid statistics boast improved maternal mortality rate every live births sindh putting squarely ahead provincesthis decrease past years ppp delivers saves lives,negative,positive
9.61E+17,steps being taken to improve education in sindh ,steps taken improve education sindh,steps taken improve education sindh,neutral,positive
9.60E+17,kashmirday ,kashmirday,kashmirday,neutral,neutral
9.60E+17,anyone in oxford tomorrow should check this out has organized lecture by to remember lmh alumni st female pm of muslim world shaheed mohtarma benazir bhutto on th february ,anyone oxford tomorrow check organized lecture remember lmh alumni st female pm muslim world shaheed mohtarma benazir bhutto th february,anyone oxford tomorrow check organized lecture remember lmh alumni st female pm muslim world shaheed mohtarma benazir bhutto th february,neutral,neutral
9.60E+17,sindh out preforming other provinces in tax collection bringing more people into tax net sales tax collection registered growth of per cent to rs billion during first months of fiscal year collection surged by per cent during january ,sindh preforming provinces tax collection bringing people tax net sales tax collection registered growth per cent rs billion first months fiscal year collection surged per cent january,sindh preforming provinces tax collection bringing people tax net sales tax collection registered growth per cent rs billion first months fiscal year collection surged per cent january,positive,positive
9.60E+17,happy birthday to my baby sister shine on emoji dizzy symbol emoji glowing star pictwittercomdaivzrjhnn,happy birthday baby sister shine emoji dizzy symbol emoji glowing star pictwittercomdaivzrjhnn,happy birthday baby sister shine emoji dizzy symbol emoji glowing star pictwittercomdaivzrjhnn,positive,positive
9.59E+17,ppp chairman exclusive interview with on ,ppp chairman exclusive interview,ppp chairman exclusive interview,neutral,positive
9.59E+17,socked and saddened by the news of fariah mir hazar khan bijaranis death thoughts and prayers with their friends family immense loss to the party country ,socked saddened news fariah mir hazar khan bijaranis death thoughts prayers friends family immense loss party country,socked saddened news fariah mir hazar khan bijaranis death thoughts prayers friends family immense loss party country,neutral,negative
9.59E+17,so far small dams have been completed and are under construction to irrigate around acres of land in all recharge and four storage dams are to be built khidmatmainsabsayaagay sindh ,far small dams completed construction irrigate around acres land recharge four storage dams built khidmatmainsabsayaagay sindh,far small dams completed construction irrigate around acres land recharge four storage dams built khidmatmainsabsayaagay sindh,negative,neutral
9.59E+17,modern and updated breast cancer screening machines imported from united kingdom uk are in process of being installed at the government hospitals of thatta badin mithi kotri and sehwan khidmatmainsabsayaagay sindh via ,modern updated breast cancer screening machines imported united kingdom uk process installed government hospitals thatta badin mithi kotri sehwan khidmatmainsabsayaagay sindh via,modern updated breast cancer screening machines imported united kingdom uk process installed government hospitals thatta badin mithi kotri sehwan khidmatmainsabsayaagay sindh via,positive,negative
9.58E+17,all across sindh particularly in thar maternal infant mortality have been serious challenge for us glad that mortality rate over the past five years has been reduced by almost now situation in sindh is better than punjab ,across sindh particularly thar maternal infant mortality serious challenge us glad mortality rate past five years reduced almost situation sindh better punjab,across sindh particularly thar maternal infant mortality serious challenge us glad mortality rate past five years reduced almost situation sindh better punjab,positive,positive
9.57E+17,enjoyed my interview with watch to see ppp perspective on terrorism extremism indiapak relations wef ,enjoyed interview watch see ppp perspective terrorism extremism indiapak relations wef,enjoyed interview watch see ppp perspective terrorism extremism indiapak relations wef,positive,negative
9.57E+17,thankyou for hosting dinner for young leaderssuch an informative discussion lively debatepleasure meeting hrh hrh al hussein bin abdullah everyone in attendanceonly regret not,thankyou hosting dinner young leaderssuch informative discussion lively debatepleasure meeting hrh hrh al hussein bin abdullah everyone attendanceonly regret,thankyou hosting dinner young leaderssuch informative discussion lively debatepleasure meeting hrh hrh al hussein bin abdullah everyone attendanceonly regret,positive,neutral
9.56E+17,happy birthday to may you forever keep smiling emoji birthday cake emoji shortcake emoji wrapped present,happy birthday may forever keep smiling emoji birthday cake emoji shortcake emoji wrapped present,happy birthday may forever keep smiling emoji birthday cake emoji shortcake emoji wrapped present,positive,positive
9.56E+17, ,,,neutral,neutral
9.56E+17,in davos to attend wef will be speaking on panel about fake news versus real politics today at gmt pst also its so cold pictwittercomtxhrhqdxny,davos attend wef speaking panel fake news versus real politics today gmt pst also cold pictwittercomtxhrhqdxny,davos attend wef speaking panel fake news versus real politics today gmt pst also cold pictwittercomtxhrhqdxny,negative,negative
9.56E+17,at least pakistanis die every hour due to heart attack while more than one third per cent of all deaths in pakistan are caused by cardiovascular diseases such import work being done in this sector across sindh free for all via ,least pakistanis die every hour due heart attack one third per cent deaths pakistan caused cardiovascular diseases import work done sector across sindh free via,least pakistanis die every hour due heart attack one third per cent deaths pakistan caused cardiovascular diseases import work done sector across sindh free via,negative,positive
9.55E+17, years ago some petty opposition politician called shaheed benazir bhutto greedy for wanting to have both children and workcountless other sexist demands including removing the government now the world welcomes announcement so much has changed pictwittercomhwkztzdr,years ago petty opposition politician called shaheed benazir bhutto greedy wanting children workcountless sexist demands including removing government world welcomes announcement much changed pictwittercomhwkztzdr,years ago petty opposition politician called shaheed benazir bhutto greedy wanting children workcountless sexist demands including removing government world welcomes announcement much changed pictwittercomhwkztzdr,positive,negative
9.55E+17,ppp wemakehistory ,ppp wemakehistory,ppp wemakehistory,neutral,neutral
9.55E+17,father of cpec pictwittercombkmojezdfw,father cpec pictwittercombkmojezdfw,father cpec pictwittercombkmojezdfw,neutral,neutral
9.55E+17,february president zardari announces chinese takeover of gwadar port ,february president zardari announces chinese takeover gwadar port,february president zardari announces chinese takeover gwadar port,neutral,neutral
9.55E+17,sindh also plans to automate business registration via portal which will link all databases and authorities for starting businessto integrate all departmental procedures online so that entrepreneurs can get required provincial registrations from single place,sindh also plans automate business registration via portal link databases authorities starting businessto integrate departmental procedures online entrepreneurs get required provincial registrations single place,sindh also plans automate business registration via portal link databases authorities starting businessto integrate departmental procedures online entrepreneurs get required provincial registrations single place,negative,neutral
9.55E+17,the sindh revenue board has led the way in collecting sales tax in the country after the th constitutional amendment,sindh revenue board led way collecting sales tax country th constitutional amendment,sindh revenue board led way collecting sales tax country th constitutional amendment,neutral,neutral
9.55E+17,the land record management information system larmis was first deployed in sindh under the project per cent of the land records of all districts in the province maintained since have been computerised and verified by deputy commissioners of districts,land record management information system larmis first deployed sindh project per cent land records districts province maintained since computerised verified deputy commissioners districts,land record management information system larmis first deployed sindh project per cent land records districts province maintained since computerised verified deputy commissioners districts,positive,neutral
